episode,clearing_price_last,cap_last,reward_A1,green_frac_A1,penalty_A1,actor_loss_A1,critic_loss_A1,reward_A2,green_frac_A2,penalty_A2,actor_loss_A2,critic_loss_A2,reward_A3,green_frac_A3,penalty_A3,actor_loss_A3,critic_loss_A3,reward_A4,green_frac_A4,penalty_A4,actor_loss_A4,critic_loss_A4,reward_A5,green_frac_A5,penalty_A5,actor_loss_A5,critic_loss_A5,secondary_volume,secondary_avg_price
67,161.93673706054688,5.452072437987189,-8.6373,0.2427,2151.617381,-0.020207,1.596451,-7.0777,0.3658,1473.431102,-0.002103,2.270429,-7.6119,0.4877,374.225867,-0.005334,2.479305,-12.1286,0.6355,507.833873,-0.013436,15.154447,-4.074,0.8121,224.013008,-0.001427,1.44818,10.2648,105.34
68,92.49385070800781,5.452072437987189,-10.6463,0.2188,2113.522747,-0.007555,1.07575,-7.025,0.3802,694.278294,-0.000126,3.634326,-12.705,0.5412,325.339405,0.000712,17.192244,-5.6447,0.6448,751.831806,-0.016022,1.779119,-7.1512,0.7887,76.807592,-0.00357,2.425413,3.4555,77.09
69,139.57432556152344,5.452072437987189,-10.4614,0.2223,2308.167524,-0.002377,2.114852,-10.2171,0.3464,1784.306879,-0.002924,5.381596,-24.0175,0.4822,0.0,0.001403,93.291765,-10.5217,0.6793,873.617679,-0.000344,6.654419,-17.2069,0.8158,0.0,-0.034132,79.37788,14.5813,144.15
70,57.919166564941406,5.452072437987189,-8.6786,0.2405,1813.80609,-0.010057,1.305099,-7.1449,0.3226,1157.390465,-0.001834,1.743672,-6.2077,0.5121,333.76812,-0.002065,1.188173,-4.6282,0.6563,118.794718,-0.015409,1.068357,-6.2174,0.8076,279.843896,0.001321,2.281282,6.6671,125.16
71,109.55887603759766,5.452072437987189,-10.2385,0.1837,2021.019648,-0.004647,1.747394,-8.3848,0.3334,2224.712952,-0.009262,1.618062,-13.0518,0.4579,899.592215,-0.002756,8.703763,-7.3892,0.6429,148.0,-0.005701,2.019158,-12.0441,0.7932,0.0,-0.000538,14.828437,8.5991,149.45
72,98.70747375488281,5.452072437987189,-12.8674,0.2172,2019.011781,-0.010483,6.628266,-11.3328,0.367,1318.341558,0.000106,3.138981,-6.5102,0.4838,643.551044,-0.000596,2.309881,-12.1899,0.6068,1050.916734,-0.001318,22.161627,-13.1861,0.7901,0.0,-0.0171,27.697976,14.4279,122.09
73,74.21810913085938,5.452072437987189,-12.9875,0.2133,1851.528404,-0.006843,5.765319,-11.1986,0.3742,1190.648503,-0.003174,2.795364,-13.09,0.5137,407.0,-0.000103,13.849028,-20.2513,0.637,618.180113,-0.010515,21.513281,-4.0287,0.7905,94.565293,0.000396,2.219087,16.0701,141.73
74,124.39958190917969,5.452072437987189,-9.8021,0.1975,1760.407755,-0.000929,1.47651,-7.6423,0.3271,2029.538912,-0.007836,1.287338,-9.9756,0.4867,0.0,-0.003942,2.815445,-6.7751,0.6481,814.045715,-0.002509,0.561217,-10.5648,0.7854,178.531305,0.001131,15.003356,15.254,131.88
75,180.79354858398438,5.452072437987189,-12.7493,0.2253,1564.737737,-0.005713,2.597323,-16.7998,0.3284,1228.077513,-0.003071,30.601869,-9.3474,0.5073,946.148968,-2e-06,2.941608,-3.5093,0.6555,672.731963,0.001476,3.490733,-9.2752,0.7955,92.5,-0.003419,5.656762,10.8259,106.3
76,183.8983154296875,5.452072437987189,-27.2494,0.2512,1748.350062,-0.001749,158.909714,-11.7688,0.3476,1851.104617,0.002092,11.086423,-15.8342,0.4951,674.816676,0.00054,31.8769,-10.8497,0.6418,73.271678,0.001405,13.468103,-12.6968,0.8183,248.746373,-0.000487,34.664669,15.0987,156.58
